VesselAISKey,AISTrajectPositionTimeStamp,AISTrajectPositionLongitude,AISTrajectPositionLatitude,AISTrajectPositionNorthing,AISTrajectPositionEasting,AISTrajectPositionCourseOverGround,AISTrajectPositionSpeedOverGround
123187,2018-01-03 01:59:56.427,4.075621605,51.96244049,5757407.137,573902.7518,106,7.4
123187,2018-01-02 10:23:58.193,4.328649998,51.87417603,5747878.193,591466.1106,153.5,5.8
123187,2018-01-02 10:37:36.473,4.298413277,51.86645889,5746982.398,589399.9598,270.5,7.7
123187,2018-01-03 02:08:28.150,4.083063126,51.94921875,5755944.238,574435.9153,180,6.4
123187,2018-01-02 10:43:08.723,4.278101444,51.86595154,5746901.236,588002.4699,264.2,8.8
123187,2018-01-03 02:14:38.543,4.085669994,51.93922043,5754834.925,574631.6661,103.5,8.5
123187,2018-01-02 10:53:58.660,4.240888119,51.8736496,5747713.061,585425.6902,302.6,8
123187,2018-01-02 10:59:48.083,4.231693268,51.88484573,5748947.487,584771.6564,337.5,7.6
123187,2018-01-03 02:19:17.450,4.104865074,51.93751907,5754665.568,575954.0183,101.4,10
123187,2018-01-03 02:23:35.093,4.123996735,51.93484116,5754387.882,577273.7862,102.7,10
123187,2018-01-02 11:04:57.147,4.223351479,51.89490128,5750056.133,584178.7604,327.2,8.1
123187,2018-01-02 11:13:07.037,4.200108528,51.90800476,5751486.821,582555.4453,311.8,9.4
123187,2018-01-03 02:27:19.923,4.139430046,51.93291473,5754190.134,578338.1345,98.9,8.8
123187,2018-01-02 11:17:38.067,4.184573174,51.91448593,5752190.123,581475.0742,305.9,9.3
123187,2018-01-02 11:21:38.067,4.173321724,51.92208099,5753022.279,580687.6066,325.2,8.8
123187,2018-01-02 11:25:28.160,4.163159847,51.9289856,5753778.963,579976.5386,300.8,8.6
123187,2018-01-02 11:41:51.713,4.100143433,51.93841171,5754759.926,575627.9373,281.1,9
123187,2018-01-02 11:48:06.497,4.074476719,51.94057846,5754974.54,573860.0037,259,8.4
123187,2018-01-02 11:53:57.140,4.053258419,51.93605804,5754450.466,572408.7655,247.8,8.5
123187,2018-01-02 12:00:16.470,4.036928177,51.93711853,5754552.286,571284.4528,343.7,4.5
123187,2018-01-02 14:15:56.477,4.035378456,51.93941879,5754806.598,571174.2784,206.4,1
123187,2018-01-02 14:45:56.487,4.033803463,51.9434433,5755252.654,571059.653,67.4,0
123187,2018-01-03 02:32:39.113,4.157760143,51.93007278,5753893.956,579603.3542,113.6,7.7
123187,2018-01-02 15:17:28.970,4.033798218,51.94345093,5755253.497,571059.2804,67.4,0
123187,2018-01-02 15:31:48.770,4.038145065,51.93458557,5754271.77,571372.1257,160.7,6
123187,2018-01-02 15:55:08.657,4.053556442,51.93559647,5754399.427,572429.9966,66.5,7.1
123187,2018-01-02 15:59:58.407,4.068068504,51.93917465,5754811.927,573421.8043,71.3,7.1
123187,2018-01-02 16:04:47.080,4.079774857,51.94524765,5755499.224,574216.483,33.3,7.6
123187,2018-01-02 16:09:37.817,4.080725193,51.95504761,5756590.118,574265.6098,340.7,7.7
123187,2018-01-02 16:39:57.987,4.073503494,51.95946503,5757074.064,573762.1106,234,0
123187,2018-01-02 17:10:48.763,4.073503494,51.95946503,5757074.064,573762.1106,234,0
123187,2018-01-02 18:25:07.697,4.073524952,51.95945358,5757072.813,573763.6037,216.1,0.2
123187,2018-01-03 02:37:49.927,4.171154976,51.92320633,5753145.034,580536.5934,143.4,7.9
123187,2018-01-02 19:38:48.677,4.07351017,51.95946121,5757073.646,573762.5756,218.4,0
123187,2018-01-03 02:43:59.460,4.187686443,51.91262054,5751986.152,581692.5832,122.1,8.9
123187,2018-01-02 20:27:27.147,4.074500084,51.95907211,5757031.376,573831.2314,109.1,3.9
123187,2018-01-02 20:45:08.463,4.036076546,51.9721756,5758450.416,571170.378,285.5,6.4
123187,2018-01-02 21:14:56.397,3.99704504,51.96189499,5757269.551,568504.9578,146.7,1.7
123187,2018-01-02 21:47:36.393,3.997615099,51.95669174,5756691.393,568552.0609,181.1,1.3
123187,2018-01-02 22:17:58.187,3.990144968,51.95087433,5756037.379,568047.5622,282.8,0
123187,2018-01-03 02:50:29.010,4.208911896,51.9032135,5750963.981,583169.857,129.8,9
123187,2018-01-03 02:54:19.167,4.220385075,51.89691925,5750277.136,583970.8875,145.9,8.6
123187,2018-01-03 03:00:10.107,4.230658531,51.88478851,5748939.92,584700.5505,160,8
123187,2018-01-03 03:04:39.407,4.236293316,51.8756485,5747929.988,585105.6107,147.7,8.3
123187,2018-01-03 03:09:59.847,4.252723217,51.86894226,5747203.487,586249.4214,119.6,8.3
123187,2018-01-03 03:14:59.847,4.26971817,51.86504364,5746790.169,587427.0302,85,8
123187,2018-01-03 03:19:19.770,4.2856884,51.86577988,5746891.34,588525.1789,87.9,8.3
123187,2018-01-03 03:24:00.087,4.302961826,51.86519241,5746847.142,589715.6493,90.3,8
123187,2018-01-03 03:28:00.070,4.317490101,51.86543655,5746892.289,590715.4634,88.8,8.2
123187,2018-01-03 03:35:39.700,4.339805126,51.85909271,5746214.8,592264.8718,150.7,8.7
123187,2018-01-03 03:41:39.697,4.355056763,51.84797668,5744997.986,593338.1181,122.9,9.1
123187,2018-01-03 03:45:59.197,4.370948315,51.84300995,5744466.103,594443.0953,109.3,9
123187,2018-01-05 16:51:44.813,4.50161171,51.83496094,5743748.421,603462.3357,284.4,8.5
123187,2018-01-03 03:50:29.960,4.388843536,51.84147644,5744318.908,595679.0718,87.3,9
123187,2018-01-03 04:03:50.687,4.43856144,51.8339119,5743544.105,599120.6412,114.8,8.5
123187,2018-01-05 17:31:04.657,4.379523277,51.84263992,5744436.102,595034.5673,269,7.1
123187,2018-01-05 17:38:33.317,4.357591629,51.8479538,5744998.691,593512.7628,298.9,7
123187,2018-01-05 17:46:54.130,4.33987999,51.86042023,5746362.532,592267.3111,324.6,7.2
